route,sample,renders,protected,deeplink_semantic,deeplink_destination,in_app_semantic,affordance,verdict
/media/:id/restricted,/media/x-id/restricted,true,false,deepLinkFallback,/me,stackReturn,true,COMPLIANT
/thread/:id,/thread/x-id,true,false,deepLinkFallback,/home,stackReturn,true,COMPLIANT
/spaces,/spaces,true,false,deepLinkFallback,/discover,stackReturn,true,COMPLIANT
/spaces/:slug,/spaces/x-slug,true,false,parentReturn,/spaces,stackReturn,true,COMPLIANT
/aura/participation,/aura/participation,true,false,deepLinkFallback,/home,stackReturn,true,COMPLIANT
/author/:handle,/author/x-handle,false,false,deepLinkFallback,/home,stackReturn,true,NOT_A_SURFACE
/u/:handle,/u/x-handle,true,false,deepLinkFallback,/discover,stackReturn,true,COMPLIANT
/u/:handle/followers,/u/x-handle/followers,true,false,parentReturn,/u/x-handle,stackReturn,true,COMPLIANT
/u/:handle/following,/u/x-handle/following,true,false,parentReturn,/u/x-handle,stackReturn,true,COMPLIANT
/support/:handle,/support/x-handle,true,false,deepLinkFallback,/home,stackReturn,true,COMPLIANT
/login,/login,true,true,deepLinkFallback,/home,stackReturn,true,PROTECTED_BOUNDARY
/register,/register,true,true,deepLinkFallback,/home,stackReturn,true,PROTECTED_BOUNDARY
/forgot-password,/forgot-password,true,true,deepLinkFallback,/home,stackReturn,true,PROTECTED_BOUNDARY
/reset-password,/reset-password,true,true,deepLinkFallback,/home,stackReturn,true,PROTECTED_BOUNDARY
/verify-email,/verify-email,true,true,deepLinkFallback,/home,stackReturn,true,PROTECTED_BOUNDARY
/verify-pending,/verify-pending,true,true,deepLinkFallback,/home,stackReturn,true,PROTECTED_BOUNDARY
/complete-identity,/complete-identity,true,true,deepLinkFallback,/home,stackReturn,true,PROTECTED_BOUNDARY
/home,/home,true,false,rootNoReturn,,rootNoReturn,false,ROOT_NO_RETURN_REQUIRED
/institution/:institutionId/meetings,/institution/x-institutionid/meetings,true,false,contextReturn,/institution/x-institutionid/explore,stackReturn,true,COMPLIANT
/institution/:institutionId/meetings/new,/institution/x-institutionid/meetings/new,true,false,flowCancel,/institution/x-institutionid/explore,flowCancel,true,COMPLIANT
/meetings/join,/meetings/join,true,false,deepLinkFallback,/me,stackReturn,true,COMPLIANT
/meetings/keep,/meetings/keep,true,false,deepLinkFallback,/me,stackReturn,true,COMPLIANT
/meetings/join-error,/meetings/join-error,true,false,deepLinkFallback,/me,stackReturn,true,COMPLIANT
/meetings/join/:code,/meetings/join/x-code,true,false,parentReturn,/meetings/join,stackReturn,true,COMPLIANT
/meetings/:id,/meetings/x-id,true,false,deepLinkFallback,/me,stackReturn,true,COMPLIANT
/meetings/:meetingId/prep,/meetings/x-meetingid/prep,false,false,parentReturn,/meetings/x-meetingid,stackReturn,true,NOT_A_SURFACE
/meetings/:meetingId/room,/meetings/x-meetingid/room,false,false,parentReturn,/meetings/x-meetingid,stackReturn,true,NOT_A_SURFACE
